@relation 'training_tututorial1-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,10-12,16-18,22-24,28-30,32-50'

@attribute posX numeric
@attribute posY numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute Ghost1posX numeric
@attribute Ghost1posY numeric
@attribute DirGhost1 {North,South,East,West,Stop,-1}
@attribute Ghost2posX numeric
@attribute Ghost2posY numeric
@attribute DirGhost2 {North,South,East,West,Stop,-1}
@attribute Ghost3posX numeric
@attribute Ghost3posY numeric
@attribute DirGhost3 {North,South,East,West,Stop,-1}
@attribute Ghost4posX numeric
@attribute Ghost4posY numeric
@attribute DirGhost4 {North,South,East,West,Stop,-1}
@attribute DirPACMAN {North,South,East,West,East}

@data
14,11,False,False,True,True,14,15,North,3,4,South,13,15,North,12,15,West,West
15,11,False,False,True,True,15,15,East,3,4,South,13,14,South,11,15,West,East
14,11,False,False,True,True,16,15,East,3,5,North,14,14,East,11,15,West,West
13,11,False,False,True,True,16,15,East,3,6,North,13,14,West,10,15,West,West
14,11,False,False,True,True,15,15,West,3,6,North,13,15,North,9,15,East,East
15,11,False,False,True,True,15,15,West,2,6,West,13,14,South,10,15,West,East
16,11,False,False,True,True,15,15,West,3,6,East,13,14,South,9,15,West,East
15,11,False,False,True,True,16,15,East,3,5,South,13,14,South,8,15,South,West
16,11,False,False,True,True,15,15,West,3,6,North,13,14,South,8,14,South,East
15,11,False,False,True,True,14,15,West,3,5,South,13,15,North,8,14,South,West
14,11,False,False,True,True,14,14,South,3,6,North,13,15,North,8,13,South,West
13,11,False,False,True,True,14,14,South,2,6,West,13,14,South,8,13,North,West
14,11,False,False,True,True,14,15,North,2,6,West,13,14,South,8,14,North,East
15,11,False,False,True,True,14,14,South,3,6,East,13,14,South,8,14,North,East
14,11,False,False,True,True,14,15,North,3,5,South,14,14,East,8,15,South,West
13,11,False,False,True,True,15,15,East,3,6,North,13,14,West,8,14,South,West
14,11,False,False,True,True,15,16,North,3,6,North,13,15,North,8,14,South,East
13,11,False,False,True,True,15,16,North,3,6,North,14,15,East,8,13,South,West
14,11,False,False,True,True,15,15,South,3,6,North,14,15,East,8,12,South,East
15,11,False,False,True,True,15,16,North,2,6,West,15,15,East,8,11,South,East
16,11,False,False,True,True,15,15,South,1,6,West,14,15,West,8,11,North,East
15,11,False,False,True,True,15,15,South,2,6,East,15,15,East,8,12,North,West
14,11,False,False,True,True,15,15,South,3,6,East,14,15,West,8,12,North,West
15,11,False,False,True,True,15,16,North,3,5,South,14,14,South,8,12,North,East
14,11,False,False,True,True,15,15,South,3,6,North,14,14,South,8,12,South,West
13,11,False,False,True,True,15,15,South,2,6,West,14,15,North,8,11,North,West
14,11,False,False,True,True,16,15,East,3,6,East,13,15,West,8,12,South,East
13,11,False,False,True,True,17,15,East,3,5,South,14,15,East,8,11,North,West
14,11,False,False,True,True,18,15,East,3,4,South,14,14,South,8,12,South,East
13,11,False,False,True,True,19,15,East,3,5,North,13,14,West,8,11,South,West
12,11,False,False,True,True,19,15,East,3,5,North,13,15,North,8,11,South,West
11,11,False,False,True,True,18,15,West,3,5,North,12,15,West,8,11,South,West
10,11,False,False,True,True,19,15,East,3,6,North,12,15,West,8,11,East,West
9,11,False,False,True,True,19,14,South,3,5,South,12,16,North,7,1,West,West
10,11,False,False,True,True,19,13,South,3,6,North,12,16,North,6,1,West,East
11,11,False,False,True,True,19,12,South,3,6,North,12,15,South,6,1,East,East
12,11,False,False,True,True,19,13,North,3,5,South,12,16,North,7,1,East,East
11,11,False,False,True,True,19,13,North,3,4,South,12,15,South,8,1,East,West
12,11,False,False,True,True,19,12,South,3,4,South,11,15,West,9,1,West,East
11,11,False,False,True,True,19,13,North,3,5,North,12,15,East,8,1,West,West
12,11,False,False,True,True,19,14,North,3,6,North,12,16,North,7,1,West,East
13,11,False,False,True,True,19,13,South,2,6,West,12,15,South,6,1,East,East
