@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,8-9,13-15,19-21,25-27,31,50'

@attribute posX numeric
@attribute posY numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute dghost1pacmanX numeric
@attribute dghost1pacmanY numeric
@attribute dGhost1 numeric
@attribute dghost2pacmanX numeric
@attribute dghost2pacmanY numeric
@attribute dGhost2 numeric
@attribute dghost3pacmanX numeric
@attribute dghost3pacmanY numeric
@attribute dGhost3 numeric
@attribute dghost4pacmanX numeric
@attribute dghost4pacmanY numeric
@attribute dGhost4 numeric
@attribute dg1g2X numeric
@attribute dg1g2Y numeric
@attribute dg1g2M numeric
@attribute dg1g3X numeric
@attribute dg1g3Y numeric
@attribute dg1g3M numeric
@attribute dg1g4X numeric
@attribute dg1g4Y numeric
@attribute dg1g4M numeric
@attribute dg2g3X numeric
@attribute dg2g3Y numeric
@attribute dg2g3M numeric
@attribute dg2g4X numeric
@attribute dg2g4Y numeric
@attribute dg2g4M numeric
@attribute dg3g4X numeric
@attribute dg3g4Y numeric
@attribute dg3g4M numeric
@attribute DirPACMAN {North,South,East,West}

@data
1,9,True,True,True,False,2,0,2,1,0,1,2,4,6,3,3,6,1,0,1,0,4,4,1,3,4,1,4,5,2,3,5,1,1,2,North
1,10,False,True,True,False,3,1,4,0,1,1,3,5,8,3,4,7,3,0,3,0,4,4,0,3,3,3,4,7,3,3,6,0,1,1,North
1,10,False,True,True,False,2,1,3,1,1,2,3,5,8,3,4,6,1,0,1,1,4,5,1,3,4,2,4,6,2,3,5,0,1,1,North
4,7,True,True,True,True,3,6,-1,1,6,-1,1,0,1,1,1,3,2,0,2,2,6,8,2,7,9,0,6,6,0,7,7,0,1,1,North
4,8,True,True,True,True,3,7,-1,1,7,-1,1,0,1,2,0,2,2,0,2,2,7,9,1,7,8,0,7,7,1,7,8,1,0,1,North
4,9,True,True,True,True,3,8,-1,1,8,-1,1,1,2,2,1,4,2,0,2,2,7,9,1,7,8,0,7,7,1,7,8,1,0,1,North
4,10,False,True,True,True,3,9,-1,1,9,-1,1,2,3,3,2,6,2,0,2,2,7,9,0,7,7,0,7,7,2,7,9,2,0,2,North
6,2,True,True,False,False,2,3,5,4,3,7,5,3,8,11,5,16,2,0,2,3,0,3,9,2,11,1,0,1,7,2,9,6,2,8,North
6,3,True,True,False,True,2,2,4,4,2,6,5,2,7,11,4,15,2,0,2,3,0,3,9,2,11,1,0,1,7,2,9,6,2,8,North
6,4,True,True,False,False,2,1,3,4,1,5,5,1,6,11,3,14,2,0,2,3,0,3,9,2,11,1,0,1,7,2,9,6,2,8,North
6,5,True,True,True,True,2,0,2,4,0,4,5,0,5,11,2,13,2,0,2,3,0,3,9,2,11,1,0,1,7,2,9,6,2,8,North
10,6,True,True,False,True,9,5,-1,7,5,-1,5,5,-1,7,1,8,2,0,2,4,0,4,16,6,22,2,0,2,14,6,20,12,6,18,North
10,7,False,True,True,True,9,6,-1,7,6,-1,5,6,-1,7,0,7,2,0,2,4,0,4,16,6,22,2,0,2,14,6,20,12,6,18,North
15,2,True,True,False,False,5,11,16,2,12,14,1,11,12,1,13,13,3,1,4,4,0,4,4,2,6,1,1,2,1,1,2,0,2,2,North
15,3,False,True,True,False,4,10,14,2,12,14,1,11,12,1,11,12,2,2,4,3,1,4,3,1,4,1,1,2,1,1,2,0,0,0,North
15,3,False,True,True,False,4,10,14,2,12,14,1,11,12,1,11,12,2,2,4,3,1,4,3,1,4,1,1,2,1,1,2,0,0,0,North
15,3,False,True,True,False,5,10,15,2,11,13,1,11,12,1,11,12,3,1,4,4,1,5,4,1,5,1,0,1,1,0,1,0,0,0,North
18,4,True,True,False,False,4,9,13,4,9,13,7,11,18,5,11,17,0,0,0,3,2,5,1,2,3,3,2,5,1,2,3,2,0,2,North
18,5,True,True,False,False,5,8,13,3,8,11,8,10,18,6,10,17,2,0,2,3,2,5,1,2,3,5,2,7,3,2,5,2,0,2,North
18,6,False,True,True,True,6,7,13,4,7,11,8,9,17,7,9,16,2,0,2,2,2,4,1,2,3,4,2,6,3,2,5,1,0,1,North
15,7,True,True,False,False,1,6,7,0,6,6,3,8,11,5,8,12,1,0,1,2,2,4,4,2,6,3,2,5,5,2,7,2,0,2,North
15,8,True,True,False,False,1,6,7,1,5,6,3,7,10,4,7,12,0,1,1,2,1,3,3,1,4,2,2,4,3,2,5,1,0,1,North
15,9,False,True,True,False,1,6,7,1,4,5,3,6,9,5,6,10,0,2,2,2,0,2,4,0,4,2,2,4,4,2,6,2,0,2,North
19,10,True,True,False,False,4,5,9,6,3,9,7,7,14,9,5,13,2,2,4,3,2,5,5,0,5,1,4,5,3,2,5,2,2,4,North
19,11,True,True,False,True,3,4,7,6,2,8,7,7,14,8,4,11,3,2,5,4,3,7,5,0,5,1,5,6,2,2,4,1,3,4,North
19,12,True,True,False,False,2,3,5,5,1,6,8,6,14,7,3,10,3,2,5,6,3,9,5,0,5,3,5,8,2,2,4,1,3,4,North
19,13,True,True,True,False,3,2,5,5,0,5,9,5,14,7,2,10,2,2,4,6,3,9,4,0,4,4,5,9,2,2,4,2,3,5,North
19,14,True,True,False,False,2,1,3,6,1,7,10,4,14,7,2,10,4,2,6,8,3,11,5,1,6,4,5,9,1,3,4,3,2,5,North
19,15,False,True,False,True,1,0,1,7,2,9,9,3,12,7,2,8,6,2,8,8,3,11,6,2,8,2,5,7,0,4,4,2,1,3,North
12,16,True,True,False,False,9,13,22,0,3,3,0,2,2,5,15,-1,9,10,19,9,15,24,4,2,6,0,5,5,5,12,17,5,17,22,North
12,17,True,True,False,False,9,14,23,1,4,5,0,1,1,5,16,-1,10,10,20,9,15,24,4,2,6,1,5,6,6,12,18,5,17,22,North
12,18,False,True,False,True,9,15,24,1,4,5,6,17,-1,6,17,-1,10,11,21,3,2,5,3,2,5,7,13,20,7,13,20,0,0,0,North
15,11,True,True,True,False,11,8,19,7,3,10,1,6,7,6,2,9,4,11,15,10,2,12,5,10,15,6,9,15,1,1,2,5,8,13,North
15,12,True,True,True,False,12,9,21,8,2,10,2,7,9,7,1,8,4,11,15,10,2,12,5,10,15,6,9,15,1,1,2,5,8,13,North
15,13,True,True,True,False,13,10,23,7,1,8,2,8,10,7,0,7,6,11,17,11,2,13,6,10,16,5,9,14,0,1,1,5,8,13,North
15,14,False,True,True,True,13,11,24,7,0,7,2,10,12,7,1,9,6,11,17,11,1,12,6,10,16,5,10,15,0,1,1,5,9,14,North
9,13,True,True,True,True,4,10,14,6,12,-1,2,8,10,2,12,-1,2,2,4,6,2,8,2,2,4,8,4,12,4,0,4,4,4,8,North
9,14,False,True,True,True,4,10,14,6,13,-1,2,10,12,2,13,-1,2,3,5,6,0,6,2,3,5,8,3,11,4,0,4,4,3,7,North
13,4,True,True,True,True,12,3,-1,10,3,-1,0,6,6,6,3,-1,2,0,2,12,9,21,6,0,6,10,9,19,4,0,4,6,9,15,North
13,5,True,True,True,True,12,4,-1,10,4,-1,1,5,6,6,4,-1,2,0,2,13,9,22,6,0,6,11,9,20,4,0,4,7,9,16,North
13,6,False,True,True,True,12,5,-1,10,5,-1,1,4,5,6,5,-1,2,0,2,13,9,22,6,0,6,11,9,20,4,0,4,7,9,16,North
15,7,True,True,True,True,14,6,-1,12,6,-1,1,2,3,8,6,-1,2,0,2,13,8,21,6,0,6,11,8,19,4,0,4,7,8,15,North
15,8,True,True,True,True,14,7,-1,12,7,-1,0,1,1,8,7,-1,2,0,2,14,8,22,6,0,6,12,8,20,4,0,4,8,8,16,North
4,7,True,True,True,True,1,2,3,7,4,11,13,1,14,21,6,27,6,6,12,12,3,15,20,4,24,6,3,9,14,10,24,8,7,15,North
4,8,True,True,True,True,1,1,2,7,5,12,13,2,15,21,5,26,6,6,12,12,3,15,20,4,24,6,3,9,14,10,24,8,7,15,North
4,9,True,True,True,True,1,0,1,7,6,13,13,3,16,21,4,25,6,6,12,12,3,15,20,4,24,6,3,9,14,10,24,8,7,15,North
11,5,True,True,False,True,10,4,-1,0,2,2,6,1,7,14,8,22,10,2,12,16,5,21,24,12,36,6,3,9,14,10,24,8,7,15,North
11,6,True,True,False,True,10,5,-1,0,3,3,6,0,6,14,7,21,10,2,12,16,5,21,24,12,36,6,3,9,14,10,24,8,7,15,North
11,7,True,True,False,True,10,6,-1,0,4,4,6,1,7,14,6,20,10,2,12,16,5,21,24,12,36,6,3,9,14,10,24,8,7,15,North
11,4,True,True,False,True,10,3,-1,8,3,-1,6,2,8,14,9,23,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,North
11,5,True,True,False,True,10,4,-1,8,4,-1,6,1,7,14,8,22,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,North
11,6,True,True,False,True,10,5,-1,8,5,-1,6,0,6,14,7,21,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,North
11,7,True,True,False,True,10,6,-1,8,6,-1,6,1,7,14,6,20,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,North
11,8,True,True,False,True,10,7,-1,8,7,-1,6,2,8,14,5,19,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,North
11,9,True,True,False,True,10,8,-1,8,8,-1,6,3,9,14,4,18,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,North
11,10,True,True,False,True,10,9,-1,8,9,-1,6,4,10,14,3,17,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,North
11,11,True,True,False,True,10,10,-1,8,10,-1,6,5,11,14,2,16,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,North
11,12,False,True,True,True,10,11,-1,8,11,-1,6,6,12,14,1,15,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,North
11,12,False,True,True,True,10,11,-1,8,11,-1,6,6,12,14,1,15,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,North
14,7,True,True,False,True,13,6,-1,11,6,-1,9,6,-1,11,6,17,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
14,8,True,True,True,True,13,7,-1,11,7,-1,9,7,-1,11,5,16,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
14,9,True,True,False,True,13,8,-1,11,8,-1,9,8,-1,11,4,15,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
14,10,True,True,True,True,13,9,-1,11,9,-1,9,9,-1,11,3,14,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
20,11,True,True,False,True,19,10,-1,17,10,-1,15,10,-1,5,2,7,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
20,12,True,True,False,True,19,11,-1,17,11,-1,15,11,-1,5,1,6,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
20,13,True,True,False,True,19,12,-1,17,12,-1,15,12,-1,5,0,5,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
20,14,True,True,False,True,19,13,-1,17,13,-1,15,13,-1,5,1,6,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
20,15,True,True,True,False,19,14,-1,17,14,-1,15,14,-1,5,2,7,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
1,2,True,True,False,False,0,1,-1,0,3,3,9,3,12,16,1,-1,0,4,4,9,4,13,16,0,16,9,0,9,16,4,20,7,4,11,North
1,3,True,True,False,False,0,2,-1,0,2,2,9,2,11,16,2,-1,0,4,4,9,4,13,16,0,16,9,0,9,16,4,20,7,4,11,North
1,4,True,True,False,False,0,3,-1,0,1,1,9,1,10,16,3,-1,0,4,4,9,4,13,16,0,16,9,0,9,16,4,20,7,4,11,North
1,5,False,True,True,False,0,4,-1,2,4,-1,9,0,9,16,4,-1,2,0,2,9,4,13,16,0,16,7,4,11,14,0,14,7,4,11,North
12,11,True,True,True,True,6,2,8,4,1,5,1,4,5,4,2,6,2,3,5,5,2,7,10,4,14,3,5,8,8,1,9,5,6,11,North
16,12,True,True,True,True,10,3,13,9,0,9,4,4,8,0,1,2,1,3,4,6,1,7,10,4,14,5,4,9,9,1,10,4,5,9,North
16,13,True,True,True,True,10,5,15,9,1,10,4,5,9,1,0,2,1,4,5,6,0,6,11,5,16,5,4,9,10,1,11,5,5,10,North
16,14,False,True,True,True,11,6,17,9,2,11,4,5,9,2,1,2,2,4,6,7,1,8,13,5,18,5,3,8,11,1,12,6,4,10,North
6,8,True,True,True,True,5,7,-1,2,1,3,1,7,-1,1,7,-1,3,8,11,4,0,4,6,0,6,1,8,9,3,8,11,2,0,2,North
6,9,True,True,True,True,5,8,-1,2,1,3,1,8,-1,1,8,-1,3,7,10,4,0,4,6,0,6,1,7,8,3,7,10,2,0,2,North
6,10,True,True,True,False,5,9,-1,2,2,4,1,9,-1,1,9,-1,3,7,10,4,0,4,6,0,6,1,7,8,3,7,10,2,0,2,North
