@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R51-53

@attribute posX numeric
@attribute posY numeric
@attribute dFood numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute Ghost1posX numeric
@attribute Ghost1posY numeric
@attribute dghost1pacmanX numeric
@attribute dghost1pacmanY numeric
@attribute dGhost1 numeric
@attribute DirGhost1 {North,South,East,West,Stop, -1}
@attribute Ghost2posX numeric
@attribute Ghost2posY numeric
@attribute dghost2pacmanX numeric
@attribute dghost2pacmanY numeric
@attribute dGhost2 numeric
@attribute DirGhost2 {North,South,East,West,Stop, -1}
@attribute Ghost3posX numeric
@attribute Ghost3posY numeric
@attribute dghost3pacmanX numeric
@attribute dghost3pacmanY numeric
@attribute dGhost3 numeric
@attribute DirGhost3 {North,South,East,West,Stop, -1}
@attribute Ghost4posX numeric
@attribute Ghost4posY numeric
@attribute dghost4pacmanX numeric
@attribute dghost4pacmanY numeric
@attribute dGhost4 numeric
@attribute DirGhost4 {North,South,East,West,Stop, -1}
@attribute dg1g2X numeric
@attribute dg1g2Y numeric
@attribute dg1g2M numeric
@attribute dg1g3X numeric
@attribute dg1g3Y numeric
@attribute dg1g3M numeric
@attribute dg1g4X numeric
@attribute dg1g4Y numeric
@attribute dg1g4M numeric
@attribute dg2g3X numeric
@attribute dg2g3Y numeric
@attribute dg2g3M numeric
@attribute dg2g4X numeric
@attribute dg2g4Y numeric
@attribute dg2g4M numeric
@attribute dg3g4X numeric
@attribute dg3g4Y numeric
@attribute dg3g4M numeric
@attribute score0 numeric
@attribute DirPACMAN {North,South,East,West}

@data
13,9,5,True,True,True,True,5,3,8,6,14,West,3,1,10,8,-1,West,12,9,1,0,1,South,7,1,6,8,-1,West,2,2,4,7,6,13,2,2,4,9,8,17,4,0,4,5,8,13,359,North
13,10,6,True,True,True,True,5,3,8,7,15,West,3,1,10,9,-1,West,12,9,1,1,2,South,7,1,6,9,-1,West,2,2,4,7,6,13,2,2,4,9,8,17,4,0,4,5,8,13,358,North
10,9,3,True,True,True,True,6,5,4,4,8,West,3,1,7,8,-1,West,5,1,5,8,-1,West,14,6,4,3,7,West,3,4,7,1,4,5,8,1,9,2,0,2,11,5,16,9,5,14,376,North
10,10,4,True,True,True,False,6,5,4,5,9,West,3,1,7,9,-1,West,5,1,5,9,-1,West,14,6,4,4,8,West,3,4,7,1,4,5,8,1,9,2,0,2,11,5,16,9,5,14,375,North
10,6,8,True,True,False,True,3,4,7,2,9,South,3,1,7,5,-1,West,5,1,5,5,-1,West,7,1,3,5,-1,West,0,3,3,2,3,5,4,3,7,2,0,2,4,0,4,2,0,2,655,North
10,7,7,True,True,False,True,2,4,8,3,11,West,3,1,7,6,-1,West,5,1,5,6,-1,West,7,1,3,6,-1,West,1,3,4,3,3,6,5,3,8,2,0,2,4,0,4,2,0,2,654,North
9,2,-1,True,True,False,False,2,1,7,1,-1,East,1,1,8,1,-1,South,9,1,0,1,-1,West,8,3,1,1,1,East,1,0,1,7,0,7,6,2,8,8,0,8,7,2,9,1,2,3,1374,North
9,3,-1,False,True,True,True,3,1,6,2,-1,East,2,1,7,2,-1,East,9,2,0,1,1,North,7,1,2,2,-1,West,1,0,1,6,1,7,4,0,4,7,1,8,5,0,5,2,1,3,1573,North
9,3,-1,False,True,True,True,3,1,6,2,-1,East,1,1,8,2,-1,West,9,2,0,1,1,North,6,1,3,2,-1,West,2,0,2,6,1,7,3,0,3,8,1,9,5,0,5,3,1,4,1572,North
9,3,-1,False,True,True,True,3,1,6,2,-1,East,2,1,7,2,-1,East,9,1,0,2,-1,South,5,1,4,2,-1,East,1,0,1,6,0,6,2,0,2,7,0,7,3,0,3,4,0,4,1571,North
9,3,-1,False,True,True,True,4,1,5,2,-1,East,2,1,7,2,-1,East,10,1,1,2,-1,East,6,1,3,2,-1,East,2,0,2,6,0,6,2,0,2,8,0,8,4,0,4,4,0,4,1570,North
1,4,3,True,True,True,False,2,10,1,6,7,West,1,9,0,5,5,West,3,7,2,3,5,East,3,7,2,3,6,North,1,1,2,1,3,4,1,3,4,2,2,4,2,2,4,0,0,0,-11,North
1,5,2,True,True,True,False,2,10,1,5,6,West,1,10,0,5,5,North,3,7,2,2,4,East,3,8,2,3,4,South,1,0,1,1,3,4,1,2,3,2,3,5,2,2,4,0,1,1,-12,North
1,6,1,True,True,True,False,2,10,1,4,5,West,1,10,0,4,4,North,4,7,3,1,4,East,3,7,2,1,3,South,1,0,1,2,3,5,1,3,4,3,3,6,2,3,5,1,0,1,-13,North
1,7,2,True,True,True,False,3,10,2,3,5,East,1,10,0,3,3,North,4,6,3,1,4,South,3,7,2,0,3,South,2,0,2,1,4,5,0,3,3,3,4,7,2,3,5,1,1,2,86,North
1,8,1,True,True,True,False,3,9,2,1,3,South,2,10,1,2,3,East,3,6,2,2,4,West,3,6,2,2,5,East,1,1,2,0,3,3,0,3,3,1,4,5,1,4,5,0,0,0,85,North
1,9,2,True,True,True,False,3,9,2,0,2,South,2,9,1,0,1,South,3,5,2,4,6,South,4,6,3,3,6,East,1,0,1,0,4,4,1,3,4,1,4,5,2,3,5,1,1,2,184,North
1,10,3,False,True,True,False,4,9,3,1,4,East,1,9,0,1,1,West,4,5,3,5,8,East,4,6,3,4,7,East,3,0,3,0,4,4,0,3,3,3,4,7,3,3,6,0,1,1,183,North
1,10,3,False,True,True,False,3,9,2,1,3,West,2,9,1,1,2,East,4,5,3,5,8,East,4,6,3,4,6,West,1,0,1,1,4,5,1,3,4,2,4,6,2,3,5,0,1,1,182,North
4,7,3,True,True,True,True,1,1,3,6,-1,West,3,1,1,6,-1,West,3,7,1,0,1,North,3,8,1,1,3,West,2,0,2,2,6,8,2,7,9,0,6,6,0,7,7,0,1,1,672,North
4,8,4,True,True,True,True,1,1,3,7,-1,West,3,1,1,7,-1,West,3,8,1,0,1,North,2,8,2,0,2,West,2,0,2,2,7,9,1,7,8,0,7,7,1,7,8,1,0,1,671,North
4,9,5,True,True,True,True,1,1,3,8,-1,West,3,1,1,8,-1,West,3,8,1,1,2,North,2,8,2,1,4,West,2,0,2,2,7,9,1,7,8,0,7,7,1,7,8,1,0,1,670,North
4,10,6,False,True,True,True,1,1,3,9,-1,West,3,1,1,9,-1,West,3,8,1,2,3,North,1,8,3,2,6,South,2,0,2,2,7,9,0,7,7,0,7,7,2,7,9,2,0,2,669,North
6,2,1,True,True,False,False,8,5,2,3,5,West,10,5,4,3,7,West,11,5,5,3,8,West,17,7,11,5,16,West,2,0,2,3,0,3,9,2,11,1,0,1,7,2,9,6,2,8,386,North
6,3,1,True,True,False,True,8,5,2,2,4,West,10,5,4,2,6,West,11,5,5,2,7,West,17,7,11,4,15,West,2,0,2,3,0,3,9,2,11,1,0,1,7,2,9,6,2,8,485,North
6,4,1,True,True,False,False,8,5,2,1,3,West,10,5,4,1,5,West,11,5,5,1,6,West,17,7,11,3,14,West,2,0,2,3,0,3,9,2,11,1,0,1,7,2,9,6,2,8,584,North
6,5,1,True,True,True,True,8,5,2,0,2,West,10,5,4,0,4,West,11,5,5,0,5,West,17,7,11,2,13,West,2,0,2,3,0,3,9,2,11,1,0,1,7,2,9,6,2,8,683,North
10,6,1,True,True,False,True,1,1,9,5,-1,West,3,1,7,5,-1,West,5,1,5,5,-1,West,17,7,7,1,8,West,2,0,2,4,0,4,16,6,22,2,0,2,14,6,20,12,6,18,1375,North
