@RELATION pacman-data

@ATTRIBUTE posX NUMERIC
@ATTRIBUTE posY NUMERIC
@ATTRIBUTE dFood NUMERIC
@ATTRIBUTE North {True, False}
@ATTRIBUTE South {True, False}
@ATTRIBUTE East {True, False}
@ATTRIBUTE West {True, False}
@ATTRIBUTE DirPACMAN {North, South, East, West, Stop}
@ATTRIBUTE Ghost1posX NUMERIC
@ATTRIBUTE Ghost1posY NUMERIC
@ATTRIBUTE dghost1pacmanX NUMERIC
@ATTRIBUTE dghost1pacmanY NUMERIC
@ATTRIBUTE dGhost1 NUMERIC
@ATTRIBUTE DirGhost1 {North, South, East, West, Stop, -1}
@ATTRIBUTE Ghost2posX NUMERIC
@ATTRIBUTE Ghost2posY NUMERIC
@ATTRIBUTE dghost2pacmanX NUMERIC
@ATTRIBUTE dghost2pacmanY NUMERIC
@ATTRIBUTE dGhost2 NUMERIC
@ATTRIBUTE DirGhost2 {North, South, East, West, Stop, -1}
@ATTRIBUTE Ghost3posX NUMERIC
@ATTRIBUTE Ghost3posY NUMERIC
@ATTRIBUTE dghost3pacmanX NUMERIC
@ATTRIBUTE dghost3pacmanY NUMERIC
@ATTRIBUTE dGhost3 NUMERIC
@ATTRIBUTE DirGhost3 {North, South, East, West, Stop, -1}
@ATTRIBUTE Ghost4posX NUMERIC
@ATTRIBUTE Ghost4posY NUMERIC
@ATTRIBUTE dghost4pacmanX NUMERIC
@ATTRIBUTE dghost4pacmanY NUMERIC
@ATTRIBUTE dGhost4 NUMERIC
@ATTRIBUTE DirGhost4 {North, South, East, West, Stop, -1}
@ATTRIBUTE dg1g2X NUMERIC
@ATTRIBUTE dg1g2Y NUMERIC
@ATTRIBUTE dg1g2M NUMERIC
@ATTRIBUTE dg1g3X NUMERIC
@ATTRIBUTE dg1g3Y NUMERIC
@ATTRIBUTE dg1g3M NUMERIC
@ATTRIBUTE dg1g4X NUMERIC
@ATTRIBUTE dg1g4Y NUMERIC
@ATTRIBUTE dg1g4M NUMERIC
@ATTRIBUTE dg2g3X NUMERIC
@ATTRIBUTE dg2g3Y NUMERIC
@ATTRIBUTE dg2g3M NUMERIC
@ATTRIBUTE dg2g4X NUMERIC
@ATTRIBUTE dg2g4Y NUMERIC
@ATTRIBUTE dg2g4M NUMERIC
@ATTRIBUTE dg3g4X NUMERIC
@ATTRIBUTE dg3g4Y NUMERIC
@ATTRIBUTE dg3g4M NUMERIC
@ATTRIBUTE score0 NUMERIC
@ATTRIBUTE score1 NUMERIC
@ATTRIBUTE score2 NUMERIC
@ATTRIBUTE score3 NUMERIC


@data
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 355, 354, 353, 352
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 354, 353, 352, 351
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 353, 352, 351, 350
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 352, 351, 350, 349
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 351, 350, 349, 348
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 350, 349, 348, 347
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 349, 348, 347, 346
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 348, 347, 346, 345
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 347, 346, 345, 344
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 346, 345, 344, 343
