@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,10-12,16-18,22-24,28-30,32-50'

@attribute posX numeric
@attribute posY numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute Ghost1posX numeric
@attribute Ghost1posY numeric
@attribute DirGhost1 {North,South,East,West,Stop,-1}
@attribute Ghost2posX numeric
@attribute Ghost2posY numeric
@attribute DirGhost2 {North,South,East,West,Stop,-1}
@attribute Ghost3posX numeric
@attribute Ghost3posY numeric
@attribute DirGhost3 {North,South,East,West,Stop,-1}
@attribute Ghost4posX numeric
@attribute Ghost4posY numeric
@attribute DirGhost4 {North,South,East,West,Stop,-1}
@attribute DirPACMAN {North,South,East,West}

@data
10,3,True,False,True,True,4,4,East,3,1,East,5,1,East,7,1,East,South
1,2,True,True,False,False,2,1,East,4,1,East,8,1,East,14,3,West,South
1,1,True,False,True,False,1,1,East,4,1,East,7,1,West,13,3,West,South
1,1,True,False,True,False,1,1,East,5,1,East,6,1,West,12,3,West,South
1,9,True,True,True,False,3,8,South,3,1,East,4,4,South,3,6,East,South
5,8,True,True,True,True,3,7,South,3,1,East,3,3,South,3,7,North,South
5,7,True,True,True,True,4,7,East,3,1,East,3,4,North,3,8,North,South
5,6,True,True,True,True,3,7,West,3,1,East,3,5,North,3,9,North,South
2,9,True,True,True,True,1,1,East,3,1,East,2,8,West,1,5,East,South
13,6,True,True,False,False,1,1,East,3,1,East,5,1,East,17,7,East,South
13,5,True,True,True,False,1,1,East,3,1,East,5,1,East,17,7,East,South
12,17,True,True,False,False,2,1,East,11,13,West,2,1,West,7,1,East,South
12,16,True,True,False,False,2,1,East,10,13,West,3,1,East,8,1,West,South
12,15,True,False,True,True,1,1,West,11,13,East,2,1,West,7,1,West,South
12,15,True,False,True,True,2,1,East,10,13,West,2,1,West,6,1,East,South
8,13,True,True,True,False,6,3,South,3,1,East,10,5,North,10,13,East,South
8,12,True,False,True,True,7,3,East,3,1,East,10,4,South,10,13,West,South
8,12,True,False,True,True,7,3,East,3,1,East,10,5,North,9,13,West,South
3,13,True,True,False,True,5,4,North,3,1,East,10,6,North,7,1,East,South
3,12,True,True,False,True,5,4,North,3,1,East,11,6,East,7,1,East,South
3,11,True,True,False,True,5,5,North,3,1,East,12,6,East,7,1,East,South
3,10,True,True,True,True,6,5,East,3,1,East,13,6,East,7,1,East,South
3,9,True,True,True,True,6,5,East,3,1,East,14,6,East,7,1,East,South
3,8,True,True,True,True,6,5,East,3,1,East,15,6,East,7,1,East,South
3,7,True,True,True,True,6,5,East,3,1,East,15,7,North,7,1,East,South
3,6,True,True,True,True,7,5,East,3,1,East,15,6,South,7,1,East,South
8,5,True,True,False,True,1,1,East,3,1,East,15,7,North,7,1,East,South
8,4,True,True,False,True,1,1,East,3,1,East,16,7,East,7,1,East,South
8,3,True,False,True,True,1,1,East,3,1,East,16,7,East,7,1,East,South
1,17,True,True,False,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,16,True,True,True,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,15,True,True,True,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,14,True,True,True,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,13,True,True,False,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,12,True,True,True,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,11,True,True,False,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,10,True,True,False,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,9,True,True,False,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,8,True,True,False,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,7,True,True,False,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,6,True,True,True,False,5,9,East,11,3,East,17,6,East,25,13,East,South
6,8,True,True,False,True,1,1,East,11,3,East,17,6,East,25,13,East,South
6,7,True,True,False,True,1,1,East,11,3,East,17,6,East,25,13,East,South
6,6,True,False,True,True,1,1,East,11,3,East,17,6,East,25,13,East,South
10,5,True,True,True,True,1,1,East,11,3,East,17,6,East,25,13,East,South
